Torneo ,Posición ,PJ ,PG ,PE ,PP ,GF ,GC ,DG 
Campeonato de Primera División 1913,4°,16,9,3,4,35,19,16
Campeonato de Primera División 1914,3°,12,5,5,2,19,11,8
Campeonato de Primera División 1915,14º,24,8,6,10,32,38,-6
Campeonato de Primera División 1916,14°,21,7,6,8,25,29,-4
Campeonato de Primera División 1917,4°,20,10,8,2,42,23,19
Campeonato de Primera División 1918,3º,19,9,6,4,39,21,18
Campeonato de Primera División 1919,1°,7,7,0,0,27,5,22
Campeonato de Primera División 1920,1°,24,20,3,1,52,7,45
Campeonato de Primera División 1921,3º,18,10,5,3,30,17,13
Campeonato de Primera División 1922,3°,16,10,2,4,30,19,11
Campeonato de Primera División 1923a 1​,1°,34,26,4,4,92,21,71
Campeonato de Primera División 1924,1°,19,18,1,0,67,8,59
Campeonato de Primera División 1925a 2​,20º,7,6,1,0,13,3,10
Campeonato de Primera División 1926,1°,17,15,2,0,67,4,63
Campeonato de Primera División 1927,2°,33,25,6,2,79,22,57
Campeonato de Primera División 1928,2°,35,28,1,6,100,17,83
Campeonato de Primera División 1929a 3​,2°,20,14,3,3,39,18,21
Campeonato de Primera División 1930,1°,35,29,3,3,113,33,80
