Torneo ,Posición ,PJ ,PG ,PE ,PP ,GF ,GC ,DG 
Campeonato de Primera 1909 ,2º ,18,11,2,5,35,26,
Campeonato de Primera 1910 ,7º ,16,4,4,8,27,37,
Campeonato de Primera 1911 ,5º ,16,6,4,6,22,31,
Campeonato de Primera 1912 ,6º ,10,3,1,6,8,23,
Campeonato de Primera 1913 ,3º ,14,10,4,0,30,7,
Campeonato de primera 1914 ,5º ,12,6,2,4,15,12,
Campeonato de Primera 1915 ,3º ,24,16,6,2,58,17,
Campeonato de Primera 1916 ,3º ,21,10,9,2,27,10,
Campeonato de Primera 1917 ,2º ,20,12,6,2,35,14,
Campeonato de Primera 1918 ,2º ,19,9,7,3,30,17,
Campeonato 1919 (AAmF) ,3º ,13,6,4,3,16,11,
Campeonato 1920 (AAmF) ,Campeón ,34,25,6,3,70,22,
Campeonato 1921 (AAmF) ,2º ,38,25,4,9,69,30,
Campeonato 1922 (AAmF) ,2º ,40,25,11,4,58,18,
Campeonato 1923 (AAmF) ,3º ,20,14,3,3,29,12,
Campeonato 1924 (AAmF) ,5º ,23,13,5,5,30,20,
Campeonato 1925 (AAmF) ,17º ,24,7,6,11,21,24,
Campeonato 1926 (AAmF) ,11º ,25,10,4,11,32,24,
Campeonato de primera 1927 ,10º ,33,17,6,10,53,35,
Campeonato de primera 1928 ,7º ,35,20,6,9,68,42,
Campeonato de primera 1929 ,3º ,17,12,3,2,28,11,
Campeonato de primera 1930 ,3º ,35,22,8,5,66,29,
